DISCOUNT_ID_EUR;DISCOUNT_ID_USD;DISCOUNT_ID_RUB;DESCR;;;;;;;;;
;45125172;;127 - WHITE GOLD BLACK EDITION 1L  15 USD OFF;;;;;;;;;
;18897369;;73 - OLMECA GOLD+BLANCO 2x1L  SAVE 13 USD;;;;;;;;;
;18182276;;19 -  LAPPONIA  buy 3 for 2 ;;;;;;;;;
;10909094;;10 - BALLANTINES FINEST 1L  BUY 1 SAVE 6 USD;;;;;;;;;
;45125093;;109 - BUSHMILLS ORIGINAL  BUY 1 SAVE  9 USD;;;;;;;;;
;12767533;;48 - VODKA SMIRNOFF RED 1L  SAVE 6 USD;;;;;;;;;
;45125088;;104  -  VODKA SAIMAA  0.5L  SAVE 14 USD;;;;;;;;;
;14481025;;39 - JW GOLD RESERVE 1L 7 USD OFF;;;;;;;;;
;11740743;;15 - MARTINI BIANCO 1.5L BUY 2 SAVE 3 USD;;;;;;;;;
;45125101;;112 - BACARDI PINA SAVE 6 USD;;;;;;;;;
;45125204;;139 - M4M CHOCO PARTY PACK 1KG 4 USD OFF;;;;;;;;;
;17357210;;89 - GORDONS SAVE 3 USD;;;;;;;;;
;45125171;;126 - WHITE GOLD any one 10 USD OFF;;;;;;;;;
;17357241;;94 -  CAPTAIN MORGAN BLACK SAVE 5 USD;;;;;;;;;
;17357342;;41 - JW BLACK 12 YO save 5 USD;;;;;;;;;
;13704734;;45 -  JW DOUBLE BLACK save 11 USD;;;;;;;;;
;16598483;;70 - BELOCHKA 0.5L save 2 USD;;;;;;;;;
;17357211;;90 -  RUSSIAN GOLD 1L save 4 USD;;;;;;;;;
;19754245;;35 - DON JULIO BLANCO 0.7L  10 USD OFF;;;;;;;;;
;12163729;;07 - BAILEYS 1L  any one 6 USD OFF;;;;;;;;;
;10908975;;03 - any 3 LINDT THINS for 2;;;;;;;;;
;17357300;;96 - MARTINI ASTI 0.75L  4 USD OFF OFF;;;;;;;;;
;45125091;;107 -  VODKA TSARSKAYA BUY 1 SAVE ;;;;;;;;;
;45125085;;101 - CAMPARI 1 L  25 USD OFF;;;;;;;;;
;15151960;;62 - GORDONS 1L  SAVE 7 USD;;;;;;;;;
;45125100;;111 - ABRAU-DURSO 4 OFF;;;;;;;;;
;17253412;;85 - FREE;;;;;;;;;
;17357201;;88 - MORGAN OATES SCARVES 3 for 2;;;;;;;;;
;18835584;;24 - any LINDOR save 5 USD;;;;;;;;;
;45125174;;129 - MANONT 0.7L  save 11 USD;;;;;;;;;
;45125207;;141 - VODKA RUS STANDART 1L GB SAVE 6 USD;;;;;;;;;
;45125205;;140 - CINZANO+APEROL BUY 2 SAVE 7 USD;;;;;;;;;
;45125233;;152 - LAVIANA EARRING BUY 2 SAVE 40 PERCENT;;;;;;;;;
;10907979;;01 - GODIVA COEUR  SAVE 9 USD;;;;;;;;;
;16598436;;69 - BELLS 1L  save 4 USD;;;;;;;;;
;17409316;;08 - DON JULIO REPOSADO .7L buy 1 save 13 USD;;;;;;;;;
;18182277;;20 - JACOBS CREEK any 3 for 2;;;;;;;;;
;45125092;;108 - BAILEYS ORIGINAL 0.5L BUY 1 SAVE 2 USD;;;;;;;;;
;13704701;;44 - CHIVAS REGAL 1L  SAVE 7 USD;;;;;;;;;
;18182247;;18 - BUSHMILLS  BLACK BUSH 1L  SAVE 8 USD;;;;;;;;;
;45125094;;110 -  XUXU BUY 1 SAVE 3 USD;;;;;;;;;
;16782955;;71- perfume 2 items for 125 USD;;;;;;;;;
;17253411;;84 - SKITTLES FRUITS PUOCH 400 gr  SAVE 2 USD;;;;;;;;;
;10924068;;04 - JAMESON L BUY 2 SAVE 6 USD;;;;;;;;;
;17409540;;12 - GODIVA SOUVENIR save 20 usd ;;;;;;;;;
;45125130;;117 - NUTS 3 for 2;;;;;;;;;
;45125147;;119 - confectionary 50 percent off;;;;;;;;;
;45125151;;122 - LINDOR NOSTALGIC 5 USD OFF;;;;;;;;;
;19140442;;32 - DANZKA VODKA any 3 for 2;;;;;;;;;
;45125198;;136 - JAMESON 1L SAVE 3 USD;;;;;;;;;
;15451708;;64 - VODKA RUSSIAN STANDART 1L SAVE 5 USD;;;;;;;;;
;45125182;;135 - GLANLIVET MASTER RESERVE SAVE5 USD;;;;;;;;;
;15451709;;65 - VODKA PARLAMENT 1L SAVE 4 USD;;;;;;;;;
;45125181;;134 - BAILEYS 3 FOR 2;;;;;;;;;
;10907986;;02 - CAPTAIN MORGAN SPICED BLACK  1L  SAVE 8 USD;;;;;;;;;
;11740744;;05 - ABRAU-DURSO BUY ANY 1 2 usd off;;;;;;;;;
;15151957;;60 - JIM BEAM HONEY 1L  SAVE 6 USD;;;;;;;;;
;14902940;;55 - BAILEYS CHOCOLAT LUXE 0.5L save 7 USD;;;;;;;;;
;14902942;;56 - perfume 2 items for 160 USD;;;;;;;;;
;16839066;;76 -  PERE MAGIORE VSOP 1L CALVADOS SAVE 5 USD;;;;;;;;;
;17357340;;40 - JW EXPLORER 1L 5 USD OFF;;;;;;;;;
;15151961;;63 - HAVANA CLUB ANEJO 3 YO 1L  3 FOR 2;;;;;;;;;
;45125105;;116 - GRILYAZH IN CHOCOLATE  3 FOR 2;;;;;;;;;
;17915501;;31 -  BLAVOD 1L  3 for 2;;;;;;;;;
;45125169;;124 - WHITE GOLD 1L 6 USD off;;;;;;;;;
;45125168;;123 - WHITE GOLD 0.5L 2 USD off;;;;;;;;;
;45125179;;133 - GANCIA BUY 3 FOR 2;;;;;;;;;
;14902995;;57 - JACK DANIELS 1L BOURBON BUY 2  FOR 59             ;;;;;;;;;
;15151455;;58 - JACK DANIELS JACK DANIELS GENTLEMAN BUY 2 FOR 64  ;;;;;;;;;
;16788045;;75- MARTELL VSOP 1L  8 USD OFF                         ;;;;;;;;;
;16839070;;79 -  MALTESERS POUCH 300 gr  2 usd off                ;;;;;;;;;
;19796391;;36 - ZACARA CENTENARIO XO 0.7L  45 usd off             ;;;;;;;;;
;45125231;;150 - PIANE GONDA BUY 2 GET 15 PERCENT OFF             ;;;;;;;;;
;45125357;;146 - JAMESON ST.PATRICK SAVE 8 USD                    ;;;;;;;;;
;45125373;;147 - NAPKIN CUBE 50 PERCENT OFF                       ;;;;;;;;;
;45125378;;155 -XENTA ABSENTA 0.5L SAVE 4 USD                     ;;;;;;;;;
;45125379;;156 - XENTA 0.7 BOX 2GL 1SP SAVE 8 USD                 ;;;;;;;;;
;45125380;;158 - XENTA SUPERIOR 0.7 GB SAVE 11 USD                ;;;;;;;;;
;45125381;;157 - XENTA 0.2L SAVE 2 USD                            ;;;;;;;;;
;45125382;;159 - SAUZA SILVER BUY 3 FOR 2                         ;;;;;;;;;
;45125383;;160 - MALIBU SAVE 3 USD                                ;;;;;;;;;
;19796464;;37 - J.WALKER BLUE 0.7L                                ;;;;;;;;;
;45125447;;161 - SWEET SAVE 3 USD                                 ;;;;;;;;;
;45125449;;163 - SHEEP 130G SAVE 8 USD                            ;;;;;;;;;
;45125450;;164 - CHOC SAVE 2 USD                                  ;;;;;;;;;
;45125451;;165 - EMERALD SHEEP 130G SAVE 9 USD                    ;;;;;;;;;
;45125474;;166 - TWIX MINI POUCH 500G SAVE 3 USD                  ;;;;;;;;;
;45125476;;148 - STAR 115 G SAVE 7 USD                            ;;;;;;;;;
;17357232;;93 -  SMIRNOFF RED 3L  5 USD OFF                       ;;;;;;;;;
;17371490;;72 - VODKA KREMLIN AWARD 0.5 TUBE SAVE 8 USD           ;;;;;;;;;
;45125235;;154 - NOUVELLE BUY 2 SAVE 25 PERCENT                   ;;;;;;;;;
;45125238;;0-00-07 - jew disc 40                                  ;;;;;;;;;
;45125539;;149 - JW BLUE 0.7L_2GL SAVE 79 USD                     ;;;;;;;;;
;45125540;;167 - ABSOLUT 1L SAVE 5 USD                            ;;;;;;;;;
;45125543;;168 - LEGENDA KREMLYA 0.5L SAVE 7 USD                  ;;;;;;;;;
;45125544;;169 - LEGENDA KREMLYA 0.7L SAVE 8 USD                  ;;;;;;;;;
;45125663;;170 - SMIRNOV WHITE 1 L SAVE 2 USD                     ;;;;;;;;;
;45125666;;171 - CHIVAS REGAL SAVE 9 USD                          ;;;;;;;;;
;45125667;;172 - ALKER EXPLORERS SAVE 17 USD                      ;;;;;;;;;
;45125668;;173 - ABERLOUR DOUBLE 15YO SAVE 6 USD                  ;;;;;;;;;
;45125728;;174 - NUTELLA WORD 350G SAVE 6 USD                     ;;;;;;;;;
;45125729;;175 - WRINGLEYS JUCY FRUIT SAVE 4 USD                  ;;;;;;;;;
;45125763;;176 - MOET CHANDON IMPERIAL BRUT SAVE 16 USD           ;;;;;;;;;
;45125764;;177 - VEUVE CLICQUOT  SAVE 25 USD                      ;;;;;;;;;
;45125771;;178 - OLMEKA GOLD BLANCO                               ;;;;;;;;;
;45125871;;179 -JEWELLERY BUY 2 SALE 25 PERSENT                   ;;;;;;;;;
;45125902;;180 - perfume 2 items for 100 USD                      ;;;;;;;;;
;45125924;;181 - SINGLETON OF DUFFTOWN SAVE 12 USD                ;;;;;;;;;
;45125953;;182 - PZ BUY 2 SAVE 15 PERCENT                         ;;;;;;;;;
;;16223885;018 -GIFT LAGGEGE TAG                                                                                                                                                                                                                                     ;;;;;;;;;
;45126073;;183 - TALISKER DARK STORM 1L save 8 USD                ;;;;;;;;;
;45126087;;0-00-0-01 ÏÎÐÎÃÎÂÀß ÑÊÈÄÊÀ  > 40                       ;;;;;;;;;
;45126088;;0-00-0-02 ÏÎÐÎÃÎÂÀß ÑÊÈÄÊÀ > 80                        ;;;;;;;;;
;45126089;;0-00-0-03 ÏÎÐÎÃÎÂÀß ÑÊÈÄÊÀ > 150                       ;;;;;;;;;
;45126091;;0-00-0-05 ÏÎÐÎÃÎÂÀß ÑÊÈÄÊÀ  > 100                      ;;;;;;;;;
;45126092;;0-00-0-06 ÏÎÐÎÃÎÂÀß ÑÊÈÄÊÀ  > 200                      ;;;;;;;;;
;45126094;;188 - WHITE&MACKAY 1 L 3 FOR 2                         ;;;;;;;;;
;45126106;;189 - TOBLERONE SAVE 6 USD                             ;;;;;;;;;
;45126219;;184 - JULES DESTR BUY 3 FOR 2                          ;;;;;;;;;
;45126282;;190 - SVO2 REMY MARTIN VSOP 1L 15 USD OFF              ;;;;;;;;;
;45126285;;191 - MARS MINI POUCH 500 gr save 4$                   ;;;;;;;;;
;45126289;;192 - any SWAROVSKI from list 30perc off               ;;;;;;;;;
;;16223919;19 - SNIKERS&BAUNTY 3 FOR 2                                                                                                                                                                                                                               ;;;;;;;;;
;;16223920;20 - MARS&MALTESERS BUY 1 SAVE 240                                                                                                                                                                                                                        ;;;;;;;;;
;45126323;;193 - I love edp 50ml save 15 usd                      ;;;;;;;;;
;;16223929;21 - ORBIT BUY 3 FOR 2                                                                                                                                                                                                                                    ;;;;;;;;;
;45126366;;194 - free                                             ;;;;;;;;;
;;16223938;23 - ANY GOODS from list -30 percent                                                                                                                                                                                                                      ;;;;;;;;;
;;;;;;;;;;;;
;45126436;;200 - free                                             ;;;;;;;;;
;45126438;;195 - BACARDI PINA COLADA 1L  save 11 usd              ;;;;;;;;;
;45126440;;197 - BOMBAY SAPPHIRE 1L SAVE 6 USD                    ;;;;;;;;;
;45126441;;198 - COINTREAU NOIR 1L SAVE 7 USD                     ;;;;;;;;;
;45126442;;199 - ST.REMY A LA CREME 1L SAVE 4 USD                 ;;;;;;;;;
;45126445;;210 - PIPER HEIDSIECK BRUT 0.75L SAVE 12 USD           ;;;;;;;;;
;45126446;;202 - PIPER HEIDSIECK ROSE 0.75L 15 USD OFF            ;;;;;;;;;
;45126449;;205 - MOUNT GAY XO 0.7L SAVE 9 USD                     ;;;;;;;;;
;45126450;;206 - METAXA 5*  SAVE 4 USD                            ;;;;;;;;;
;45126451;;207 - BRUICHLADDICH BERE BARLEY 0.7L 13 USD OFF        ;;;;;;;;;
;45126453;;208 -  BRUICHLADDICH THE ORGANIC 1L 15 USD OFF         ;;;;;;;;;
;45126454;;209 - CUTTY SARK 1L BUY 3 FOR 2                        ;;;;;;;;;
;45126456;;212 - any CHIVAS REGAL SAVE 16 USD                     ;;;;;;;;;
;45126457;;213 - CHIVAS REGAL 12YO+CHIVAS BB SAVE 17 USD          ;;;;;;;;;
;45126459;;215 -OLMECA GOLD SAVE 8 USD                            ;;;;;;;;;
;45126460;;216 - CHIVAS 18YO SAVE 9 USD                           ;;;;;;;;;
;45126484;;220 - LINDT GOLD MILK HAZELNUT 7 USD OFF               ;;;;;;;;;
;45126439;;196 - TOBLERON  BUY 3 FOR 2                            ;;;;;;;;;
;45126447;;203 - PIPER HEIDSIECK SUBLIME 0.75L SAVE 13 USD        ;;;;;;;;;
;45126448;;204 - METAXA PRIVATE 0.7L SAVE 22 USD                  ;;;;;;;;;
;45126455;;211 - JAMESON 4.5 L SAVE 22 USD                        ;;;;;;;;;
;45126458;;214 - MUMMS CORDON  GB SAVE 13 USD                     ;;;;;;;;;
;;16222249;Àêöèÿ HAPPY BONUS 10%                                                                                                                                                                                                                                     ;;;;;;;;;
;;16223955;24 - any perfume from list - get brush set free                                                                                                                                                                                                           ;;;;;;;;;
;;16223966;25 - any perfume from list - get janeke PLU 854328 free                                                                                                                                                                                                   ;;;;;;;;;
;;16223968;27 - any perfume from list - get janeke PLU 725274 free                                                                                                                                                                                                   ;;;;;;;;;
;;16223969;28 - any perfume from list - get janeke PLU 854155 free                                                                                                                                                                                                   ;;;;;;;;;
;45126555;;301 - fash - buy shawl get jew bag free                ;;;;;;;;;
;45126556;;302 - fash - buy purse get mirror free                 ;;;;;;;;;
;45126557;;303 - fash - buy Mont Blanc over 200$ get  case free   ;;;;;;;;;
