DP_SUP_ID;DF_USD_ID;DF_SUP_ID;SUP_NAME
;28551042;28551042;---
14323943;;;---
;36939811;36939811;A.R.I.
;10907183;10907183;A.R.I. OLD
11271174;;;A0000006 ¿–’¿Õ√ OOO
10902882;;;A00004 ICS
10902883;;;A00005 ALFA PLUS
10902884;;;A00006 ART-BOOKS OOO
11372511;;;A00007 ¿À≈‘ “–≈…ƒ ŒŒŒ
11690046;;;A00012 ¿¬¿ÀŒÕ “–≈…ƒ
10971590;;;A00100 ›Ã¡Œ–√
10902886;;;A00111 APC-FOUDS OOO
10902887;;;A01000 ALESER 000
;45124181;45124181;A014660 ASGHARALI ESTERK
16223207;;;A014660 ASGHARALI ESTERK
15061294;32030763;32030763;A03333 AGATHA
;10924100;10924100;A10012 ALFRED DUNHILL GMBH
16157276;;;A10015 CAROLINA HERRERA PUIG
16157276;10907434;10907434;A10015 CAROLINA HERRERA Puig
;10924088;10924088;A10016 ALFA-ALYANCE
;10907286;10907286;A10018 ALFRED DUNHILL P&G
;10924078;10924078;A10025 ALMAX
;10907288;10907288;A10044 GLOBAL PROMOTIONAL SE
;10907288;10907288;A10044 GLOBAL PROMOTIONAL SE
;10907435;10907435;A10060 ABSOLUT CO
;10907241;10907241;A10067 ART ALIANCE
;10907342;10907342;A10067+ ART ALIANCE PLUS
;10907343;10907343;A10068+ ART ALIANCE RBN
;10907343;10907343;A10068+ ART ALIANCE RBN
;10907546;10907546;A10073 TIGER ELECTRONICS USD
;10907242;10907242;A10076 ART-BOOKS LTD
;14278728;14278728;A10076+ ART-BOOKS RBL
;10924110;10924110;A10080 AMKA OY/AB
;10907344;10907344;A10096 RUSSIAN SPIRIT GROUP
;10907184;10907184;A10118 INFIFON B.V.
;10907184;10907184;A10118 INFIFON B.V.
;10907436;10907436;A10122 ARI-SHANNON EURO
;10924115;10924115;A10200 AGROSECO
;10907289;10907289;A11100 ARCOROS
;10907289;10907289;A11100 ARCOROS
10902892;;;A11100 ART-ALYANCE ECO RBL
;10907345;10907345;A11112 ART-BOOKS
15205851;;;A11114 AVALANCHE
15205854;;;A11117 AVIATOR
11450423;;;A12000 ¿Ã¿ƒ≈”—
;10907437;10907437;A12224 FINLANDIA VODKA - BF
11254622;45124718;45124718;A12345 OOO AUGUST GROUP                                                                             
16222265;45121034;45121034;A12600 Ã“  ¿À»—¿ «¿Œ   
;37248649;37248649;A13970 ARK BELUGA OOO
11274573;;;A14520 ¿À Œ-Ã»–
;10917382;10917382;A20008 ANTICA MURRINA SKY
;28446164;28446164;A20033 JOHN RICHMOND Euroitalia
;22341022;22341022;A21234 AST
11269170;;;A23456 ¿—“-»Õ“≈–Õ›ÿÕÀ OOO
;28142960;28142960;A25555 CONSTELLATIONS BRANDS SCHENLEY INC
15980835;;;A32111 AVANTA ELECTRONICS
15980835;28593085;28593085;A32111 AVANTA ELECTRONICS
11728840;;;A33000 ARDEN LAGERFELD
15872568;;;A33315+ AEROBRIDGE OOO
15872568;24612378;24612378;A33315+ AEROBRIDGE OOO
;10907290;10907290;A33366 ALKOMIR OOO
;10924112;10924112;A33880 ALD INT FASHION
12708724;;;A3400000  ŒÕ—“¿Õ“»ÕŒœŒÀ‹— ¿ﬂ
16223683;;;A44441 ¿–ŒÕ¿ ŒŒŒ                                                                                    
16223683;;;A44441 ŒŒŒ ¿–ŒÕ¿
;12922092;12922092;A44444+ AMADEUS
15963727;;;A45698 ART ALLIANCE LTD
;22424977;22424977;A54321 ALLIED BRANDS
;21453663;21453663;A55516 ARTISAN ESTERK
16223884;;;A55552 ¿Õ“¿–≈—                                                                                      
16223425;;;A55555  ŒÃœ¿Õ»ﬂ ¿ÀÀ»√¿“Œ– ŒŒŒ                                                                       
16223425;;;A55555 ŒŒŒ  ÓÏÔ‡ÌËˇ ¿ÎÎË„‡ÚÓ
16222300;;;A65432 AVTOGRAF
16222300;45121100;45121100;A65432 AVTOGRAF
16192379;;;A72508 ¿ﬂ —-œ–≈—— ŒŒŒ
;44809367;44809367;A72508 ¿ﬂ —-œ–≈—— ŒŒŒ
16038988;;;A75444 —ÚÓÎË˜Ì˚È ﬁ‚ÂÎËÌ˚È «‡‚Ó‰
;45121220;45121220;A77332 L'ATELIER
16223492;;;A88881 ¿–»¿Ã
;10924080;10924080;A99996 ALMAZJEWELIR EXPORT
16222230;;;AAT00001 ART ALIANCE TRADING
;15182376;15182376;AB1111+ ABBYY
15861076;;;AB2222+ AEROBRIDGE UNION
15347108;;;AB55555 ¿–“ ¡¿«¿–
15861076;39373863;39373863;AB9999+ AEROBRIDGE UNION
15929513;;;AD00000 AF_DM
;42565954;42565954;AD12468 GREENFIELD INTERVEST LTD
16222218;;;AE3333 AEGNA
;10924118;10924118;AEROFIRST
10902895;;;AEROFIRST_RBN
;10924082;10924082;AEROMAR
;10907439;10907439;AEROMAR_RBN
15061294;;;AG55511 AGATHA
16223048;;;AHK111 HELLO KITTY ARIAL
;45126209;;AIR AFFINITY LIMITED                                                                                
;45124188;45124188;AJ00001 AJMAL
16222783;;;AJ5545 ALEXANDRE J MINIUM
16222783;45123556;45123556;AJ5545 Alexandre J ÃËÌËÛÏ
;10931266;10931266;AL45115 ALOKOZAY F2E
16223792;45125537;;AL55111 ALAIA BPI                                                                                   
16223429;;;AL55544 ¿À‹ “–≈…ƒ
16223429;;;AL55544 ¿À‹ “–≈…ƒ ŒŒŒ                                                                               
;33547545;33547545;AL88888 MASTER SERVICE COMPANY
15233565;;;AM10001 A.MARTINI –Ë¯˝Ò
;43333871;43333871;AM11111 ANTHIME MOULEY
16223067;;;AN2014 ARIAL(NOVOSIBIRSK)
16223067;;;AN2014 ARIAL(SOCHI / NOVOSIBIRSK)                                                                   
;45125271;45125271;AO12345 ALYSON OLDOINI Interlux 2
15640999;;;AP 12345 AGENT PROVOCATEUR-≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
16223624;21046073;21046073;AR10016 AGATHA RUIZ DE LA PRADA Puig
;45126210;;ARCOROS INC.                                                                                        
16135458;;;ARIAL
;42829361;42829361;ART ALLIANCE DELUX LTD
;45126208;;ART ALLIANCE LTD (UK)                                                                               
15407859;;;ART BAZAR GR
;31862246;31862246;AS23456 THE ART OF SHAVING
;45124219;45124219;AS33354 ASHFORD
;45126191;;ASHFORD                                                                                             
16223739;45125582;;ASI412 ASI OOO                                                                                      
12499656;;;B0000003 ¡ŒÕ¿ ŒŒŒ
10902896;;;B000005 »“¿À ŒÃ
10902897;;;B00001 VASKO RBL
10902898;;;B00002 BONA CONFECTIONARY ZAO
10902899;;;B00003 BEVERIDGIS AND TRAIDING
10902900;;;B00004 BAZA-4 ZAO
10902901;;;B00005 BELLIGEN TD
11168902;;;B0005 ¬–≈Ã≈Õ¿ √Œƒ¿ “ƒ
10902903;;;B10000 TP BIRNS
;10907346;10907346;B10001 BARAKA JEW - GENERLUX
;10907346;10907346;B10001 BARAKA JEW - GENERLUX
10902904;;;B10001 BORALEX
;10924077;10924077;B10003 BREADWINNERS
;10907347;10907347;B10018 DEL BURBERRYS
16222992;;;B10027 ISSEY MIYAKI BPI
16222992;10907387;10907387;B10027 ISSEY MIYAKI BPI
;10907293;10907293;B10028 JEAN PAUL GAUTIER BPI
16222990;;;B10029 NARCISO RODRIGUES BPI
16222990;10908145;10908145;B10029 NARCISO RODRIGUES BPI
;10907294;10907294;B10041 BRAUN
;10907440;10907440;B10044 BROWN FORMAN BEVERAGE
;10907348;10907348;B10055 BARDINET SA
;10907244;10907244;B10062 BAUME & MERCIER SA
;10907244;10907244;B10062 BAUME & MERCIER SA
;10907547;10907547;B10080 BLAVOD DRINKS LTD
;10907547;10907547;B10080 BLAVOD DRINKS LTD
;10907388;10907388;B10081 BORIE-MANOUX WINES
;10907388;10907388;B10081 BORIE-MANOUX WINES
;10907441;10907441;B11111 TORGSERVICE XXI BABAEVSKOE
;10907185;10907185;B11115 BALMAIN WATCH
;10907185;10907185;B11115 BALMAIN WATCH
12499656;18666543;18666543;B11555 BONA OOO
13534474;;;B1212345 ¡»√ “–›…ƒ ŒŒŒ
;10907389;10907389;B12345 BALMAIN
;23217598;23217598;B123456 BOLS SP.Z.O.O
14008192;;;B13578 BVLGARY - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
16223699;;;B14270 ¡–¿«»— ÀŒ√»—“»                                                                               
14348260;10907549;10907549;B14673 BIOTHERM PBI
;10922016;10922016;B14674 BIOTHERM SKY
;10923965;10923965;B20100 BARAKA WATCH
15962875;;;B21456 CARON ¡»¡» ŒÃ (»À‹»Õ¿)
16164156;;;B21457 MEMO ¡»¡» ŒÃ (»À‹»Õ¿)
16164157;;;B21458 PRUDENCE ¡»¡» ŒÃ (»À‹»Õ¿)
16164158;;;B21459 HOUBIGANT ¡»¡» ŒÃ (»À‹»Õ¿)
16164160;;;B21460 HISTORES DE PARFUMS ¡»¡» ŒÃ (»À‹»Õ¿)
14030123;;;B23456 BALDESSARINI -≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;10907550;10907550;B25600 BEVERAGES & TRADING
;28366568;28366568;B33333 BELVEDERE
14008004;;;B34567 BOSS - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;30663658;30663658;B51551 BISQUIT COGNAC
16222849;;;B54321 BYREDO ESTERK
;45123746;45123746;B54321 BYREDO Esterk
;45125360;45125360;B55533 BOTTEGA
;10907551;10907551;B55545 BRONCES E.TORTOSA
16222627;;;B55555 ¡≈Õ≈‘»“
15980829;;;B56789 BOBBY BROWN
;22567051;22567051;B66650 BOUCHERON PBI
;11381585;11381585;B68701 BACARDI GMBH
;11381585;11381585;B68701 BACARDI GMBH
;43359682;43359682;B69870 BALLY SA I VIA INDUSTRIA
;42521079;42521079;B87452 BRIC'S
16150193;;;B87452 BRIC'S
;10907295;10907295;B89625 LUXOTTICA UK IRL
;42521050;42521050;B95137 BRACCIALINI
;45120829;45120829;B99911 BAIKAL JSL
13672106;;;B99999 BIOTHERM SKY
15054381;;;BB55515 BETTY BARCLAY - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;10907390;10907390;BD12345 BREITLING/DARROW GROUP
;45120899;45120899;BE56565 BEGEMOT
;45125713;;BEST WINE                                                                                           
;45125713;;BEST WINE (SIA MONO)                                                                                
16223339;45124232;45124232;BIK1113 OOO BIK
;10907245;10907245;BJ12345 BJ FITZPATRICK & CO
;12143104;12143104;BPI
16223507;;;BPI
15979121;;;BR00005 BROSWAY
16223562;;;BR75321 BURBERRY BPI
;43255913;43255913;BR75321 BURBERRY BPI
16222668;43252561;43252561;BS55545 BODY SHOP
16223608;;;BV10020 BOTTEGA VENETA
;45125243;45125243;BV10020 BOTTEGA VENETA COTY
;28479158;28479158;BV12399 BVLGARY
;28479158;28479158;BV12399 BVLGARY
10902906;;;C00001 COCA-COLA USD
11076376;;;C00002 —-2 ‘»–Ã¿ OOO
11041678;;;C00005 —¬  “ƒ «¿Œ
10902907;;;C00010 KC FUDS
;10907349;10907349;C00011 CENTROPEL
10968807;;;C00012 À»Õ»ﬂ ◊»Õ ”≈ OOO
;10907350;10907350;C02376 DAVID CAMPARI
;10907350;10907350;C02376 DAVID CAMPARI
;10907391;10907391;C05723 CAMUS INTERNATIONAL
10902908;;;C10000 CASIO 000
;10907352;10907352;C100006 CARAN D'ARCHE
;10924098;10924098;C10002 CARTIER INT YSL PRODUCTS
;10907246;10907246;C10014 CRABTREE & EVELYN
;10907445;10907445;C10020 CLINIQUE E.Lauder
;10907488;10907488;C10023 CARRERA JEWELLERY
;10907552;10907552;C10031 CARTIER INT FASHION
;28413105;28413105;C10032 CLARINS SWAROVSKI
;10907489;10907489;C10033 CLARINS EXPORT DIVISION
15418168;10907489;10907489;C10033 CLARINS EXPORT DIVISION
;10907186;10907186;C10035 CHATEAU DE COGNAC
;10907297;10907297;C10036 CLARINS AZZARO
;10907187;10907187;C10037 CLARINS THIERRY MUGLER
;10907187;10907187;C10037 CLARINS THIERRY MUGLER
;20842771;20842771;C10039 CLARINS PORSCHE DESIGN
;10907553;10907553;C10052 CHANEL SKY
;10923866;10923866;C10061 CHAMBORD
;10907554;10907554;C10063 COGNAC FRAPIN
;10907554;10907554;C10063 COGNAC FRAPIN
;10907490;10907490;C10070 COCA-COLA REFRESHMENT
;10907490;10907490;C10070 COCA-COLA REFRESHMENT
;10907188;10907188;C10085 CHRONOLUX SA CHOPARD
;10907491;10907491;C10260 CANON EURO
;30320649;30320649;C10300 CRISTALL-LEFORTOVO OOO
10902911;;;C11110  Œ ¿- ŒÀ¿ ›…◊¡»—» ≈¬–¿«»ﬂ
;10907392;10907392;C11123 CARRERA WATCHES
;45124331;45124331;C11223 COCCINELLE
10902912;;;C15000 CHASPROMTORG ZAO
14832869;28487171;28487171;C21212 CHURCHILLS
15091267;;;C23456 COTY
15913684;;;C27565 CHANEL PARFUMS
15913684;10907446;10907446;C27565 CHANEL PARFUMS
15316079;;;C31803 CHRISTIAN DIOR
;10907298;10907298;C31803 CHRISTIAN DIOR SKY
15316079;10907189;10907189;C31805 CHRISTIAN DIOR
14888364;;;C32165 CURAPROX
15418168;;;C33331 CLARINS
;10907247;10907247;C33343 CASIO ELECTR USD
14008005;;;C34678 CALVIN KLEIN - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;11072291;11072291;C44434 CASIO ELECTR EURO
14008007;;;C54320 CHLOE - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;11062438;11062438;C54321 CASIO WATCHES
;31846685;31846685;C55555 CELLCOSMET & CELLMEN
;10907447;10907447;C60708 L CONNAUGHTON & SON
11092582;10907447;10907447;C60708 L CONNAUGHTON & SON
;35299122;35299122;C69999 RASKAT TD
;20723886;20723886;C77708 CIRCUS
;10907448;10907448;C87452 A.T.CROSS LTD
;42829327;42829327;C96385 CEDC
15401914;;;C99918 McG CONSULTANTS
;10907248;10907248;C99989 CONNECT INT LTD
14008009;;;CA12345 C.AGUILERA - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;38464910;38464910;CA12345 CORPORATE AGENCIES LIMITED
16222308;;;CA16543 CARNER OF BARCELONA œ¿–‘ﬁÃ œ¿À¿—
16222308;;;CA16543 œ¿–‘ﬁÃ œ¿À¿—                                                                                
;45124180;45124180;CC00001 CLIVE CHRISTIAN ESTERK
16223206;;;CC00001 CLIVE CHRISTIAN ESTERK
;45125786;;CC6654 CAVALLI CLASS                                                                                
15582048;;;CC87654 COMME DES GARCONS ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;10907555;10907555;CE17332 CENTAUR TRAVEL RETAIL
15012418;;;CE32100 CERRUTI - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
14008006;;;CH12345 C.HERRERA - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
14832869;;;CH34567 CHURCHILLS
;20820656;20820656;CK11111 CK WATCH & JEW Co
13934647;;;CK11111 CK WATCHES
;10907493;10907493;CK1234 CALVIN KLEIN WATCHES
;12153978;12153978;CLARINS GROUP
;12153976;12153976;CLINIQUE GROUP
16223743;;;CM00006 CREME DE LA MER                                                                             
;25775436;25775436;CM00006 CREME DE LA MER E.Lauder
16145612;;;CO2222 CODELLO
;37872437;37872437;CO78404 COCOROSE
16223578;;;COTY
;12153979;12153979;COTY GROUP
;10907249;10907249;CS12345 CASIO WATCHES
10902913;;;D00001 DENVIEW U.E.
10902914;;;D00002 DMITROV-ALKO OOO
;10907190;10907190;D0001 DISTILLERIA BOTTEGA
;26043240;26043240;D00235 DEBRISE DULAC
;26043240;26043240;D00235 DEBRISE DULAC
11003144;;;D10000 ƒ»À¿Õ+ OOO
10902916;;;D10001 DENVIEW RBL
;10907250;10907250;D10003 OETTINGER DAVIDOFF AG                                                                        
13530515;;;D10005  ›Õƒ»À¿…Õ ŒŒŒ
;10923873;10923873;D10026 DOMAINE LAROCHE
;10907449;10907449;D10029 DURACELL BATTERIES NV
;10907354;10907354;D10054 V.D BAUWEDE DARROW
;10907494;10907494;D10055 JEAN MARCEL DARROW GR
;10907450;10907450;D10056 FIDIA GIOIELLI S.P.A
;10907299;10907299;D10057 FIORELLA GIOELLI
;10907191;10907191;D10059 UNOAERRE
;10907451;10907451;D10150 DARROW GROUP LTD
;10907452;10907452;D11153 MAGERIT DARROW EURO
;10907452;10907452;D11153 MAGERIT DARROW EURO
;10907251;10907251;D11157 FIORELLA GIOELLI EURO
;10907252;10907252;D12321 DUBEY & SCHALDENBRAND
;43267543;43267543;D12329 OOO √  ƒ‡ÈÏÓÌ‰
;10924117;10924117;D12345 DARROW GROUP SUNGL
16222253;;;D20030 DOLCE & GABBANA P&G
16222253;10922384;10922384;D20030 DOLCE & GABBANA P&G
;45123004;45123004;D30030 DOLCE & GABBANA MAKE-UP P&G
;23281023;23281023;D33000 DISPLAY DESIGN COMPANY
;10907453;10907453;D33333 DNK OOO
;10907355;10907355;D34567 DOLCE & GABBANA
14008010;;;D35678 D&G - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
10902918;;;D50005 DEMOS-APS AOOT
;24892618;24892618;D50010 D&G P&G
11715231;;;D5005005 ƒœ-“–≈…ƒ ŒŒŒ
;10907192;10907192;D55555 DILAN JSC
;24814839;24814839;D55570 DRIMLEKS
;10907454;10907454;D56007 DELSEY
16223997;;;D62941 ƒ≈À» ¿“≈— “–≈…ƒ                                                                              
;10907193;10907193;D65432 DMD GOLD COLLECTION
;10907495;10907495;D66661 EVRASIA OOO
14008011;;;D67890 DAVIDOFF - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;10924106;10924106;D99979 AMBASSADORS CHOICE
;10907195;10907195;D99980 DRAMBUIE LIQUER CO
;10907301;10907301;D99989 DUTY FREE SERVICES
15981558;;;DE22222 DESIGUAL
15981558;45124149;45124149;DE22222 DESIGUAL
;31966571;31966571;DF0000 DUTY FREE
11310611;;;DG10067 D&G WATCHES
14008124;;;DG23456 DOLCE&GABBANA - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;10907357;10907357;DK14775 DKNY WATCHES SKY
15981228;45123595;45123595;DK33331 DYRBERG KERN
16222279;;;DR5432 DE RIGO
;10907358;10907358;DR5432 DE RIGO
;45123194;45123194;DU55545 DUC d`O
;10907197;10907197;DUTY FREE SHOP - SHANNON
15962795;42073729;42073729;DZ55555 DREVO ZHIZNI OOO
15962795;;;DZ55555 ƒ–≈¬Œ ∆»«Õ» ŒŒŒ
10902919;;;E00001 APOLLO ELECTRONICS
10902921;;;E00003 INTERPRODUCT ZAO
11163369;;;E00004 ≈¬–¿—≈–¬»— ŒŒŒ
10902922;;;E00005 ELECTROCOMPROECT
10902924;;;E0002 UVELCOM OOO
16080150;32653273;32653273;E03033 EDOX
10912753;;;E10000 ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿ ’ŒÀƒ»Õ√
10908930;;;E10001 › —œŒ—≈–¬»— OOO
16222630;;;E10022 ESCADA P&G
16222630;10907556;10907556;E10022 ESCADA P&G
;10907253;10907253;E10023 ESCADA SKY
;10907496;10907496;E10038 ETUD UNION OF ARTISTS
;10907497;10907497;E10050 ESSE
;10907359;10907359;E10051 RATTI
10902925;;;E11000 EVRAZIYA OOO
;10907455;10907455;E11011 ESTERK LUX PARFUME
13085509;;;E11115 EUROITALIA DP
14345858;;;E11777 ›À»“ - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
14122386;16904957;16904957;E12345 ES.MOLECULES Esterk
14122386;;;E12345 ES.MOLECULES ›—“≈–  œ¿–‘ﬁÃ
16223481;25843088;25843088;E12468 ESTERK
;25958784;25958784;E14281 ESPERANTO VIN OOO
16222207;;;E15200 LAMARTHE Elit bags
16064646;;;E16100 DELSEY Elit bags
16222237;;;E17100 Giorgio Fedon & Figli Spa
;10921244;10921244;E18515 EUROITALIA SKY
14183052;;;E20002 › —œŒ“–≈…ƒ ŒŒŒ
16223503;;;E22222 ≈¬–¿«»ﬂ
16223530;;;E25555 ›À»“ ¡›√« (CK)
;10907498;10907498;E25700 ERGODATA
;10907254;10907254;E33961 HUGO BOSS P&G
15644008;;;E33962 HUGO BOSS PARFUME
;10907302;10907302;E33962 HUGO BOSS PARFUMS SKY EURO
16222631;;;E33965 LACOSTE P&G
;10907255;10907255;E33965 LACOSTE P&G
;11012333;11012333;E33967 BALDESSARINI P&G
14030159;;;E34567 ESCADA - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
14345858;29062819;29062819;E52529 ELIT
15855616;40173724;40173724;E55545 RAMON MOLVIZAR Exility
16165067;;;E55546 TORRE Exiliti
;44514879;44514879;E55546 TORRE EXILITY
16165067;;;E55546 TORRE EXILITY
16165068;44514880;44514880;E55547 MASQUE Exility
16165069;44514881;44514881;E55548 ROSE & Co Exility
16165070;44514882;44514882;E55549 SEVIGNE Exility
16222195;45120509;45120509;E55550 X-RAY Exility
16222203;45120567;45120567;E55551 PECCATO Exility
16223569;;;E55552 GIULIETTA CAPULETI Exility
16223570;;;E55553 MIMMINA FLOWER Exility
10924931;;;E55555 ESSE DP EURO
;42750498;42750498;E73621 ESCADA WATCHES
15981401;;;E77712 ESTER BIJOUX
;33678924;33678924;E86421 EASTPAK
;10907198;10907198;E88898 ECTACO
;10907303;10907303;E88899 ECTACO SKY
16222206;;;ELIT BAGS GROUP
;10907360;10907360;EMBORG EMBORG AO RBN
;10907256;10907256;EMBORG USD
16222258;;;EN12355 ENNS
;45120906;45120906;EN12355 ENNS
16171437;;;EN44567 ELECTRONIC NOVELTIES
16171437;44153565;44153565;EN44567 ELECTRONIC NOVELTIES
16223960;;;ES12333 ESTEBAN - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿                                                                     
16223564;;;ES12345 ELIE SAAB
;28431636;28431636;ES12345 ELIE SAAB BPI
;45123896;45123896;ES33315 ›— ‹ﬁ —»√—
;12580967;12580967;ESTEE LAUDER GROUP
16223506;;;ESTEE LAUDER GROUP
;41947843;41947843;ESTERK PARFUM ŒŒŒ
16222986;;;ESTERK PARFUME
;20809920;20809920;EUROITALIA
;11143601;11143601;EV16775 EVRASERVIS OOO
;44514878;44514878;EXILITY
16165066;;;EXILITY
14108649;;;F00009 M.FREY WILLE DP
;10907393;10907393;F10017 DEL FASHION FLO LTD
;10907500;10907500;F11110 FREDERIQUE CONSTANT
10902929;;;F11111 FANAGORIA TRADE HOUSE OOO
15205853;;;F11116 FABER CASTELL
;10907501;10907501;F11123 FANAGORIYA TD
;10907257;10907257;F12222 FOSTERS
;10907304;10907304;F12345 FOSSIL
14008193;;;F15666 FERRAGAMO - ≈ƒ»Õ¿ﬂ E¬–Œœ¿
;10907558;10907558;F33311 FREY WILLE
14108649;10907558;10907558;F33311 FREY WILLE
;11104974;11104974;F33312 M.FREY WILLE FASHION
;10907199;10907199;F33322 M.FRAY SKY
11307070;;;F3333300 FOLLI FOLLIE WATCHES
15968000;24207694;24207694;F35291 FENDI PARFUM
;10907305;10907305;F45730 FRANCESCO SMALTO
12309424;;;F55545 FURLA
15263234;;;F55555 FRUITBERRY - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
15115888;;;F55556 FOSSIL
;45120563;45120563;F66321 FAZER BRANDS INTERNATIONAL
14425730;;;F87654 FERAUD - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;11012386;11012386;F88999 FURLA
;11012386;11012386;F88999 FURLA
;45125270;45125270;FB11123 F.BOCLET Interlux 2
16223877;45126060;;FC00002 FERRARI CAVALLINO                                                                           
;14416973;14416973;FE1234 FENDI SILK SA
16222285;;;FER123 FERRERO
;25873704;25873704;FER123 FERRERO TRADING LUX
;25873704;25873704;FER123 FERRERO TRADING LUX
;10907394;10907394;FF33551 FOLLI-FOLLIE WATCHES
15968000;;;FF34567 FENDI
;36154934;36154934;FO45678 FOSSIL
;34335099;34335099;FP11111 F.PARTNERS OOO
10902930;;;G00001 MASTER DISTRIBUTERS
10902931;;;G00002 GOLD GRAIL
10902932;;;G0001 GROSS OOO
10902933;;;G10000 GELEO OOO
;10907502;10907502;G10002 GIVENCHY COUTURE EURO
;10907502;10907502;G10002 GIVENCHY COUTURE EURO
;10923865;10923865;G10004 DEL GIVENCHY FFR
;10907503;10907503;G10016 GUESS - IBB B.V.
10902937;10907503;10907503;G10016 GUESS - IBB B.V.
15981116;;;G10036 GODIVA
;10907559;10907559;G10036 GODIVA S.A. BELGIUM
15981116;10907559;10907559;G10036 GODIVA S.A. BELGIUM
;10907258;10907258;G10037 GUYLIAN NV/SA
;10907258;10907258;G10037 GUYLIAN NV/SA
;10907561;10907561;G10044 GOLDMAJOR LTD
;10907395;10907395;G10046 GUESS - IBB SKY
;10907361;10907361;G11100 GK GROSS OOO
10902934;;;G11110 MASTER DISTRIBUTERS RBL
10902935;;;G11111 GIVENCHY COUTURE RBN
;15106113;15106113;G11111+ GALEREYA BLAGOLEPIYA
10902936;;;G11112 GIVENCHY COUTURE EURO
10902937;;;G11333 GUESS - IBB
;10907306;10907306;G122333 GROSSE JEW SKY
;10907201;10907201;G19253 GROSSE UK LTD
14008125;;;G20304 GUCCI - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;10969784;10969784;G29001 GRADIENT
12529723;;;G33311 DEL GIVENCHY PARFUME SKY
;21453622;21453622;G33315 ANNICK GOUTAL ESTERK
10902938;;;G33322 GENERLUX TRADING S.A. DP
;11139624;11139624;G333666 GOLDKENN
;17129947;17129947;G37123 GREATWELL INVESTMENTS LTD
;17129947;;G37123 SIINERGIA (GREATWELL INVESTMENTS LTD)                                                        
;26082124;26082124;G54321 GOURJI (Rub)
;10907259;10907259;G55545 GENERLUX TRADING SA
;42565904;42565904;G55551 GANCIA
;42828643;42828643;G59870 GUCCI
;10907202;10907202;G73611 W.GRANT & SONS
;10907202;10907202;G73611 W.GRANT & SONS
;11106590;11106590;G88898 GLENMORANGE
15981117;10907504;10907504;G93124 GUERLAIN PARFUMS
15981117;;;G93125 GUERLAIN DP
;10907396;10907396;G93125 GUERLAIN SKY
;35051453;35051453;G98765 GOURJI ITALY(EURO)
16223409;45124774;45124774;GC0003 ŒŒŒ »Ì‚ÂÒÚ √ÂÓ –ÂÒÛÒ (Golden-Candies)
;10907203;10907203;GG12345 GOLDEN GRAIL LTD
;10907203;10907203;GG12345 GOLDEN GRAIL LTD
;45121228;45121228;GI20000 GIVENCHY PARFUME DP
